Anio,Entidad,Producto,Nomunidad,Volumenproduccion
2019,Aguascalientes,Frijol,Tonelada,747634.05
2019,Aguascalientes,Leche,Miles de lts,0
2019,Aguascalientes,Maíz,Tonelada,433923844.3
2019,Baja California,Leche,Miles de lts,0
2019,Baja California,Maíz,Tonelada,114220777.8
2019,Baja California,Trigo,Tonelada,639828675.3
2019,Baja California Sur,Frijol,Tonelada,760305.55
2019,Baja California Sur,Leche,Miles de lts,0
2019,Baja California Sur,Maíz,Tonelada,60323971.68
2019,Baja California Sur,Trigo,Tonelada,22137747.8
2019,Campeche,Arroz,Tonelada,24550394
2019,Campeche,Frijol,Tonelada,646821.67
2019,Campeche,Leche,Miles de lts,0
2019,Campeche,Maíz,Tonelada,143431258.8
2019,Chiapas,Arroz,Tonelada,110593.5
2019,Chiapas,Frijol,Tonelada,33504890.17
2019,Chiapas,Leche,Miles de lts,0
2019,Chiapas,Maíz,Tonelada,703956321.4
2019,Chiapas,Trigo,Tonelada,23879.5
2019,Chihuahua,Frijol,Tonelada,24899741.97
2019,Chihuahua,Leche,Miles de lts,0
2019,Chihuahua,Maíz,Tonelada,1044071441
2019,Chihuahua,Trigo,Tonelada,36035409.48
2019,Ciudad de México,Frijol,Tonelada,12447.32
2019,Ciudad de México,Leche,Miles de lts,0
2019,Ciudad de México,Maíz,Tonelada,1048391.9
2019,Coahuila de Zaragoza,Frijol,Tonelada,269213.98
2019,Coahuila de Zaragoza,Leche,Miles de lts,0
2019,Coahuila de Zaragoza,Maíz,Tonelada,282308554.5
2019,Coahuila de Zaragoza,Trigo,Tonelada,7300043.01
2019,Colima,Arroz,Tonelada,7184264.8
2019,Colima,Frijol,Tonelada,1370.88
2019,Colima,Leche,Miles de lts,0
2019,Colima,Maíz,Tonelada,22480098.5
2019,Durango,Frijol,Tonelada,11592587.45
2019,Durango,Leche,Miles de lts,0
2019,Durango,Maíz,Tonelada,1097928361
2019,Durango,Trigo,Tonelada,2634883.77
2019,Guanajuato,Frijol,Tonelada,18111171.57
2019,Guanajuato,Leche,Miles de lts,0
2019,Guanajuato,Maíz,Tonelada,767089705.8
2019,Guanajuato,Trigo,Tonelada,127183495.8
2019,Guerrero,Arroz,Tonelada,70430.23
2019,Guerrero,Frijol,Tonelada,2323954.44
2019,Guerrero,Leche,Miles de lts,0
2019,Guerrero,Maíz,Tonelada,227339220.5
2019,Hidalgo,Frijol,Tonelada,1208034.85
2019,Hidalgo,Leche,Miles de lts,0
2019,Hidalgo,Maíz,Tonelada,46654129.45
2019,Hidalgo,Trigo,Tonelada,172675.07
2019,Jalisco,Arroz,Tonelada,2492452.64
2019,Jalisco,Frijol,Tonelada,1677954.22
2019,Jalisco,Leche,Miles de lts,0
2019,Jalisco,Maíz,Tonelada,2275201069
2019,Jalisco,Trigo,Tonelada,20291829.28
2019,Michoacán de Ocampo,Arroz,Tonelada,2156366.62
2019,Michoacán de Ocampo,Frijol,Tonelada,3988770.24
2019,Michoacán de Ocampo,Leche,Miles de lts,0
2019,Michoacán de Ocampo,Maíz,Tonelada,190537715.1
2019,Michoacán de Ocampo,Trigo,Tonelada,8928082.09
2019,Morelos,Arroz,Tonelada,424708.33
2019,Morelos,Frijol,Tonelada,54220.59
2019,Morelos,Leche,Miles de lts,0
